AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680062708965,PinOT_KW2_Beauty+KW_c04i34-NW_LPX_D0618_US_AppiOS_All_XP0_off1,626739888056,0
2680060091041,Ad Group For Pin: 687195101010,626734593222,0
2680062390671,New_Pin2Tap_KW2s_Beauty_Phrase-Makeup _TopGL_i32W_LPA_C0301_US_TR_XP11__iOS_Off1,626739728886,8
2680059862202,Ad Group For Pin: 687195048671,626734574923,0
2680061626129,PinOT_KW3_AllPages180_C07PApplL_LPX_C0721_US_TR_XP13x_off1,626737772103,35
2680060300739,Ad Group For Pin: 687195533933,626735542901,17
2680060886878,Ad Group For Pin: 687196106320,626736626529,0
2680061039679,Ad Group For Pin: PST2,626736722567,0
2680059614121,Ad Group For Pin: 687195389792,626735472176,3
2680059701341,Ad Group For Pin: 687195412040,626735481594,2
2680059691317,Ad Group For Pin: 687195005895,626734555748,0
2680059701027,Ad Group For Pin: 687195412049,626735481522,0
2680062771078,SeedBid1_US_KW2Makeup_20180709_off1_XP0_LPX_HomeFeed_oCPM_1T_Web,626739917305,63
2680059611141,Ad Group For Pin: 687195388875,626735471729,2
2680062390646,New_Pin2Tap_KW2_Beauty-Makeup _TopGL_i32W_LPA_C0301_US_TR_XP11__Android_Off1,626739728889,4
2680059700978,Ad Group For Pin: 687195412070,626735481510,0
2680059641648,Ad Group For Pin: 687195397176,626735475126,1
2680059896714,Ad Group For Pin: 687195462061,626735504528,43
2680060067309,Ad Group For Pin: 687195506559,626735529212,94
2680059655914,Ad Group For Pin: 687195401358,626735476591,16
2680060524577,Ad Group For Pin: 687195756153,626735668392,2
2680062757125,SeedBid2_US_KW2Makeup_20180703_off1_XP0_LPX_HomeFeed_CPC_1T_Web,626739917399,0
2680060554982,Ad Group For Pin: 687195782927,626735685489,0
2680060561573,Ad Group For Pin: 687195789490,626735689373,0
2680061431290,PinOT_KW2_HB2_i32W-NW_LPX_C0519_US_TR_XP12x_off1,626737679757,45
2680061329194,PinOT_KW2_C03GLL_i32W-NW_LPX_C0420_US_TR_XP11_off1,626737624961,28
2680059641618,Ad Group For Pin: 687195397174,626735475117,0
2680059896718,Ad Group For Pin: 687195462063,626735504529,0
2680059678174,Ad Group For Pin: 687195198923,626734621786,0
2680060124675,Ad Group For Pin: 687195318818,626734657903,0
2680060561631,Ad Group For Pin: 687195789548,626735689422,0
2680059611138,Ad Group For Pin: 687195388874,626735471728,0
2680059955719,Ad Group For Pin: 687195476804,626735511524,8
